央视频道,#genre#
百视通2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230650/1.m3u8
百视通3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230652/1.m3u8
百视通4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230654/1.m3u8
百视通5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230656/1.m3u8
百视通6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230679/1.m3u8
百视通7,http://111.48.246.74/000000001000PLTV/88888888/224/3221230681/1.m3u8
百视通8,http://111.48.246.74/000000001000PLTV/88888888/224/3221230683/1.m3u8
百视通9,http://111.48.246.74/000000001000PLTV/88888888/224/3221230685/1.m3u8
百视通10,http://111.48.246.74/000000001000PLTV/88888888/224/3221230687/1.m3u8
百事剧集1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230642/1.m3u8
百事剧集2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230675/1.m3u8
百事电影1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230640/1.m3u8
百事电影3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230638/1.m3u8

少儿频道,#genre#
新动漫,http://111.48.34.138/000000001000PLTV/88888888/224/3221230487/1.m3u8
卡酷少儿,http://111.48.34.138/000000001000PLTV/88888888/224/3221230428/1.m3u8
金鹰卡通,http://111.48.34.138/000000001000PLTV/88888888/224/3221230468/1.m3u8
动漫秀场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230621/1.m3u8
哈哈炫动,http://111.48.34.138/000000001000PLTV/88888888/224/3221230578/1.m3u8
嘉佳卡通,http://111.48.34.138/000000001000PLTV/88888888/224/3221230580/1.m3u8

数字频道,#genre#
CETV1,http://111.48.34.138/000000001000PLTV/88888888/224/3221230523/1.m3u8
CETV2,http://111.48.34.138/000000001000PLTV/88888888/224/3221230389/1.m3u8
CETV4,http://111.48.34.138/000000001000PLTV/88888888/224/3221230626/1.m3u8
金色学堂,http://111.48.34.138/000000001000PLTV/88888888/224/3221230586/1.m3u8
都市剧场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230619/1.m3u8
法治天地,http://111.48.34.138/000000001000PLTV/88888888/224/3221230609/1.m3u8
金鹰纪实,http://111.48.34.138/000000001000PLTV/88888888/224/3221230420/1.m3u8
生活时尚,http://111.48.34.138/000000001000PLTV/88888888/224/3221230617/1.m3u8
东方财经,http://111.48.34.138/000000001000PLTV/88888888/224/3221230613/1.m3u8
快乐垂钓,http://111.48.34.138/000000001000PLTV/88888888/224/3221230479/1.m3u8
魅力足球,http://dassby.qqff.top:99/live/快乐垂钓/index.m3u8
游戏风云,http://111.48.34.138/000000001000PLTV/88888888/224/3221230623/1.m3u8
风云足球,http://111.48.34.138/000000001000PLTV/88888888/224/3221230482/1.m3u8
高尔夫网球,http://111.48.34.138/000000001000PLTV/88888888/224/3221230535/1.m3u8
央视台球,http://111.48.34.138/000000001000PLTV/88888888/224/3221230484/1.m3u8
兵器科技,http://111.48.34.138/000000001000PLTV/88888888/224/3221230537/1.m3u8
世界地理,http://111.48.34.138/000000001000PLTV/88888888/224/3221230486/1.m3u8
第一剧场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230488/1.m3u8
风云音乐,http://111.48.34.138/000000001000PLTV/88888888/224/3221230541/1.m3u8
怀旧剧场,http://111.48.34.138/000000001000PLTV/88888888/224/3221230543/1.m3u8
环球奇观,http://111.48.34.138/000000001000PLTV/88888888/224/3221230392/1.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8

港澳台,#genre#
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰卫视,
凤凰资讯,http://111.48.34.138/000000001000PLTV/88888888/224/3221230647/1.m3u8
凤凰香港,http://cdn6.163189.xyz/163189/fhhk
凤凰电影,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
TVB星河,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20101
TVB翡翠台,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20066
TVB翡翠剧集,http://iptv.4666888.xyz/iptv2A.php?id=33
TVB黄金华剧,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBPearl,http://mytv.cdn.loc.cc/o12.php?id=mzt
TVBPlus,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20072
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVBJ2,http://fm1077.serv00.net/Smart.php?id=j2_twn
TVB奖门人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB金曲,http://iptv.4666888.xyz/iptv2A.php?id=57
MYTV黄金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
Now新闻,http://cdn.163189.xyz/163189/now
Astro欢喜,
AstroAOD,https://o11.163189.xyz/stream/live/aod/
AstroAEC,https://o11.163189.xyz/stream/live/aec/
AstroFOOT,
CHU,http://cdn6.163189.xyz/163189/chu
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
RTHK31,http://cdn.163189.xyz/163189/rthk31
RHK31,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20080
RTHK32,http://cdn.163189.xyz/163189/rthk32
RTHK33,http://cdn6.163189.xyz/163189/cctv1
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20079
TENNIS,
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
美亚电影,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20120
华艺中文,http://iptv.4666888.xyz/iptv2A.php?id=37
邵氏電影,
邵氏武俠,
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
无线新闻,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20069
莲花卫视,http://cdn6.163189.xyz/163189/amlh
澳视卫星,http://cdn6.163189.xyz/163189/as
澳视澳门,http://cdn6.163189.xyz/163189/asam
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
三立台湾台,http://fm1077.serv00.net/Smart.php?id=sanlitaiwan
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
三立综合台,http://fm1077.serv00.net/Smart.php?id=sanlizhonghe
中天亚洲台,http://fm1077.serv00.net/Smart.php?id=ctiasia_twn
中天新闻,
中视新闻,http://xclasvgas.sylu.cc:8880/?token=dbm&id=4gtv-4gtv040
中视经典,http://xclasvgas.sylu.cc:8880/?token=dbm&id=4gtv-4gtv040
民视台湾台,http://iptv.4666888.xyz/iptv2A.php?id=55
民视第一台,http://iptv.4666888.xyz/iptv2A.php?id=55
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=55
公视戏剧,http://74.91.26.218:82/live/pts.m3u8
东森综合,http://iptv.4666888.xyz/iptv2A.php?id=58
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
非凡新闻,http://iptv.4666888.xyz/iptv2A.php?id=44
超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
中视,http://xclasvgas.sylu.cc:8880/?token=dbm&id=4gtv-4gtv040
华视,http://74.91.26.218:82/live/cts.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=55
华视新闻,http://74.91.26.218:82/live/cts.m3u8
纬来日本台,http://fm1077.serv00.net/Smart.php?id=videolandjapan
靖天国际,https://test.946985.filegear-sg.me/proxy/61ead71226c49dbd
靖洋戏剧,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天映画,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv055
靖天电影,http://iptv.4666888.xyz/iptv2A.php?id=56
纬来电影,http://iptv.4666888.xyz/iptv2A.php?id=54
天映经典,http://huhu11.a1.luyouxia.net:26894/play/电视家/电视家.php?id=20115
天映频道,http://o11.163189.xyz/stream/live/typd/
龙华偶像,http://xclasvgas.sylu.cc:8880/?token=dbm&id=litv-xinchuang12
龙华戏剧,http://xclasvgas.sylu.cc:8880/?token=dbm&id=litv-xinchuang18
龙华洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
龙华经典,http://xclasvgas.sylu.cc:8880/?token=dbm&id=litv-xinchuang21
台视新闻台,http://fm1077.serv00.net/Smart.php?id=ttv_taiwan
台视综合,http://iptv.4666888.xyz/iptv2A.php?id=51
台视,http://iptv.4666888.xyz/iptv2A.php?id=51
TVBS新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS欢乐台,http://208.87.201.148/livehttpplay?channel_id=20085
TVBS亚洲,http://208.87.201.148/livehttpplay?channel_id=20085
TVBS精彩,http://208.87.201.148/livehttpplay?channel_id=20085
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
TVBS,http://iptv.4666888.xyz/iptv2A.php?id=43
ViuTV,http://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
HBO,http://104.250.145.76/livehttpplay?channel_id=23356
智林体育,
Japan,
SPOTV2,
SPOTV,
